,sentence,tags
134,GDP is an important statistic that indicates whether an economy is growing or contracting.,B-BAS O O O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
135,"The borrower’s attributes refer to the relationship with the bank, the firm size, value of collateral, related business experience, and the share of investment.",O B-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS O 
136,Calculate your target heart rate and estimated maximum heart rate to determine if your heart rate is within the target zone during physical activity.,O O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS O B-ACT O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
137,The routing of an application is defined by the eligibility and application risk.,O B-DER I-DER I-DER I-DER O B-ACT O O B-BAS O B-BAS I-BAS O 
138,"Moreover, age determines the driver premium.",O O B-BAS B-ACT O B-DER I-DER O 
139,"The medical history is based on what symptoms the patient experiences, for how long and if any conditions run in the family.",O B-DER I-DER O B-ACT O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
140,According to whether the account holder is a rewards member or not the price is made.,O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-DER O O O 
141,"Perceived exertion is how hard you feel like your body is working, it is based on the physical sensations a person experiences during physical activity.",B-DER I-DER O O O O O O O O O O O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
142,The borrower’s attributes are defined as the borrower's relationship with the bank and the firm size.,O B-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O 
143,"Along with regularly getting a screening mammogram, monitoring your symptoms is an important part of early detection of breast cancer.",O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O O O B-DER I-DER I-DER I-DER I-DER O 
144,"The medical history includes the symptoms the patient experiences, and for how long and if any conditions run in the family.",O B-DER I-DER B-ACT O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
145,A doctor is able to generate an idea of what may be causing a patient’s symptoms by evaluating the patient’s medical history and performing a physical examination.,O O O O O B-ACT O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O O B-BAS I-BAS O O O B-BAS I-BAS O 
146,Figuring out your total daily energy expenditure begins with calculating your BMR.,O O O B-DER I-DER I-DER I-DER O O B-ACT O B-BAS O 
147,Absolute valuation models determine the present value of future incoming cash flows to obtain the intrinsic value of an asset.,B-BAS I-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
148,Determining the capitalization rate is one of the key metrics used to value an income-generating property. ,O O B-BAS I-BAS O O O O O O B-ACT O B-DER I-DER I-DER I-DER O 
149,"Moreover, the number of vacation days awarded to you is determined by the period you have been working at the company and your function.",O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS O 
150,"Risk is determined from the contact with a similar virus, being a labworker or smallpox virus exposure.",B-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS O B-BAS I-BAS I-BAS O 
151,To calculate the auto premium we first need to calculate the car style premium and the rating.,O B-ACT O B-DER I-DER O O O O O O B-BAS I-BAS I-BAS O O B-BAS O 
152,Lenders use your credit scores to predict how reliable you’ll be in paying your loan.,O O O B-BAS I-BAS O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
153,"person's health status, which defines a person's happiness. ",B-BAS I-BAS I-BAS I-BAS O O B-ACT O B-DER I-DER I-DER O 
154,Fraud inspection is assessed from the deviation of the operation route and the truck compliance.,B-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O 
155,What we will drink tonight is determined by two factors: the meal of the evening and the age of the guests.,B-DER I-DER I-DER I-DER I-DER O B-ACT O O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
156,The overall quality of life is concerned with both the quality of life and the health related quality of life.,O B-DER I-DER I-DER I-DER O B-ACT O O O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
157,"Issues eligible for consideration consist of; the financial history of the client, the timeliness of payments, the amount of income generated by the client, and the potential of similar businesses in the same location.",B-DER I-DER I-DER I-DER B-ACT O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
158,"Perceived exertion is based on the physical sensations a person experiences during physical activity, including increased heart rate, increased respiration or breathing rate, increased sweating, and muscle fatigue. ",B-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O B-ACT B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS O 
159,"Your credit score, your home location, and your down payment are all factors that affect the mortgage interest rate.",O B-BAS I-BAS O O B-BAS I-BAS O O O B-BAS I-BAS O O O O B-ACT O B-DER I-DER I-DER O 
160,"Breast cancer staging also takes into account your cancer's grade, determined by the presence of tumor markers, such as receptors for estrogen, progesterone and HER2, and proliferation factors.",B-DER I-DER I-DER O B-ACT O O O B-BAS I-BAS I-BAS O B-ACT O O O O O O O O O B-BAS I-BAS I-BAS O B-BAS O B-BAS O O B-BAS I-BAS O 
161,The differential diagnosis made by a doctor is based on the patient’s full medical history.,O B-DER I-DER O O O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
162,"As an employee and a company you can be interested in the amount of vacation days you have accumulated over the years, this is determined by the number of vacation days you already took and by the vacation days given to you by the company.",O O O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
163,"The application risk of a client is assessed by benchmarking the application risk score, which is predicted through the application risk score model, against the application risk category table.",O B-DER I-DER I-DER I-DER I-DER O B-ACT O O O B-BAS I-BAS I-BAS O O O O O O O O O O O O O B-BAS I-BAS I-BAS I-BAS O 
164,"This includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.",O B-ACT O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS O 
165,"The risk assessment requires a credit history check on the applicant, which is performed by a financial officer.",O B-DER I-DER O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O 
166,"Your credit history is captured throughout the years, it plays a key role in a lender's decision to offer you credit.",O B-BAS I-BAS O O O O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
167,score depending on the working hours and performance.,B-DER B-ACT O O B-BAS I-BAS O B-BAS O 
168,"The differential diagnosis made by a doctor is based on the patient’s full medical history, which is accessable from the database. ",O B-DER I-DER O O O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O 
169,A farmer’s loan file is determined by the most appropriate loan terms and conditions.,O B-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O B-BAS O 
170,"BMR, which is determined by the number of calories your body uses to maintain vital functions. ",B-DER O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
171,"Along with unemployment, the jobs data, and the consumer price index, economists track labor productivity to determine the relative strength of an economy.",O O B-BAS O O B-BAS I-BAS O O O B-BAS I-BAS I-BAS O O O B-BAS I-BAS O B-ACT O B-DER I-DER I-DER I-DER I-DER O 
172,"The amount of water that a plant needs, depends on the plant's size, environment, and origin.",O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS O B-BAS O O B-BAS O 
173,"The pre-selection decision for an internship at the European commision is ascertained by your university degree, languages and prior employment.",O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS O B-BAS O B-BAS I-BAS O 
174,The healthiness of the senses is calculated from the results of eye and hearing tests.,O B-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
175,Acceptable candidates receive a preference score depending on GPA and letter score. ,B-BAS I-BAS O O B-DER I-DER B-ACT O B-BAS O B-BAS I-BAS O 
176,The cabin seat status and the flight history define the chance that a passenger is upgraded.,O B-BAS I-BAS I-BAS O O B-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER O 
177,Furthermore a driver premium is determined based on age.,O O B-DER I-DER O B-ACT O O B-BAS O 
178,One of the most important symptoms to be monitored includes the change of your nipple.,O O O O O B-DER O O O B-ACT O B-BAS I-BAS I-BAS I-BAS O 
179,"The amount of water that a plant needs is influenced by the plant's size, environment, and origin.",O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS O B-BAS O O B-BAS O 
180,"Figuring out your total daily energy expenditure begins with calculating your BMR, which is determined by the number of calories your body uses to maintain vital functions.",O O O B-DER I-DER I-DER I-DER O O B-ACT O B-BAS O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
181,The risk for heart disease is significantly influenced by your age.,O B-DER I-DER I-DER I-DER O O B-ACT O O B-BAS O 
182,"To decide whether a client is eligible for credit, the health risk and financial risk of the client need to be evaluated.",O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O O 
183,A client’s creditworthiness is based on the information that the client provided.,O B-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
184,"employee bonus, which determines the monthly enumeration.",B-BAS I-BAS O O B-ACT O B-DER I-DER O 
185,"For stocks traded on public stock exchanges, supply and demand for the company’s shares are a main component in determining the stock’s price at any point in the trading day.",O O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O B-ACT O B-DER I-DER I-DER I-DER O O O O O O O O 
186,The risk of developing TB depends on the strength of your immune system and whether you’ve been recently infected with TB bacteria.,O B-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
187,"In order to assess the credit health of the borrower, the lender requests credit reports from credit agencies.",O O O B-ACT O B-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS O O O O 
188,The net operating income (NOI) formula calculates a company's income after operating expenses are deducted. ,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O B-BAS I-BAS I-BAS O B-BAS I-BAS O O O 
189,Investors watch GDP to get a sense of where the economy may be headed in the weeks ahead.,O O B-BAS O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
190,"The employee bonus is assessed from a scoring, which is based on the working hours and profit.",O B-DER I-DER O B-ACT O O B-BAS O O O B-ACT O O B-BAS I-BAS O B-BAS O 
191,"To decide which students are invited for the interview process, we consider your educational background, your professional experience and your international exposure, as well as your essays and recommendation letters.",O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS O O B-BAS I-BAS O O B-BAS I-BAS O O O O O B-BAS O B-BAS I-BAS O 
192,Patient’s height and weight are considered to calculate his BMI value.  ,B-BAS I-BAS I-BAS I-BAS O B-BAS O O O B-ACT O B-DER I-DER O 
193,The company's policy can impact the income stream for investors and the profitability of the company.,O B-BAS I-BAS I-BAS O B-ACT O B-DER I-DER I-DER I-DER O O B-DER I-DER I-DER I-DER O 
194,"The shipping method, the supplier and the order amount will determine the shipping costs of Amazon to Belgium.",O B-BAS I-BAS O O B-BAS O O B-BAS I-BAS O B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER O 
195,"The lender’s human capital, on the other hand, refers to the education, banking experience, lending experience and the exposure to SME loans.",O B-DER I-DER I-DER I-DER I-DER O O O O O O B-ACT O O B-BAS O B-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
196,Businesses may use GDP as a factor when deciding whether to expand or contract production or whether to undertake major projects.,O O O B-BAS O O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER O B-DER I-DER I-DER I-DER I-DER O 
197,The season will determine the dinner we have.,O B-BAS O B-ACT O B-DER O O O 
198,"Physical fitness score is calculated from the sex of a patient and results of various tests such as strength test, coordination test, agility test, stamina test and speed test.",B-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O O O O O O O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS O 
199,"The overall quality of life influences the person's health status, which defines a person's happiness. ",O B-BAS I-BAS I-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER O O B-ACT O B-DER I-DER I-DER O 
200,"The pre-selection decision for an internship at the European commision is based on your university degree, languages and prior employment.",O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS O B-BAS O B-BAS I-BAS O 
201,"Your university grade, previous work experience and case solving skills are considered by consultancy firms to assess if you get the job.",O B-BAS I-BAS O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O O O O B-ACT O O B-DER I-DER I-DER O 
202,The employee bonus is assessed from a scoring and this scoring is calculated from the employee's working hours and personal profit.,O B-DER I-DER O B-ACT O O B-BAS O O B-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O 
203,It can also compromise decision-making processes and creativity.,O O O B-ACT B-DER I-DER O B-DER O 
204,"The patient’s risk level should be assessed by determining the level of obesity based on BMI value, also on the waist circumference. ",O B-DER I-DER I-DER I-DER I-DER O O B-ACT O O O B-BAS I-BAS I-BAS B-ACT O B-BAS I-BAS O O O O B-BAS I-BAS O 
205,The total number of credit points you have completed assists the University in calculating your course progress and completion.,O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-ACT O B-DER I-DER I-DER I-DER O 
206,"Deciding on your future job depends on your goals, your university degree and your field of interest.",O O O B-DER I-DER B-ACT O O B-BAS O O B-BAS I-BAS O O B-BAS I-BAS I-BAS O 
207,"leptin and ghrelin, which control feelings of hunger and fullness.",B-BAS O B-BAS O O B-ACT B-DER I-DER I-DER I-DER I-DER O 
208,"The ""Per Item"" cost depends on the specifications of the purchased items, such as quantity of items, the weight, or volume (referred to as the dimensional weight) of each package.",O B-DER I-DER I-DER I-DER I-DER B-ACT O O O O O O O O O O B-BAS I-BAS I-BAS O O B-BAS O O B-BAS O O O O O O O O O O O O 
209,"Specifically, you are entitled to an integration income depending on three particular circumstances: being your level of the local language, your occupation and your age.",O O O O O O O B-DER I-DER B-ACT O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS O O B-BAS O 
210,"The size, environment, and origin of a plant define how much water the plant needs.",O B-BAS O B-BAS O O B-BAS I-BAS I-BAS I-BAS B-ACT B-DER I-DER I-DER I-DER I-DER I-DER O 
211,The application risk of a client is assessed by the application risk score model and the application risk category table.,O B-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
212,"To decide on which movie is recommended to a customer, we look at 2 main items, these are the customer profile and the time of the year.",O B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O O O O O O O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
213,Eligibility for smallpox vaccine is dependent on risk and outbreak.,B-DER I-DER I-DER I-DER O O O B-BAS O B-BAS O 
214,"We take into account the number of flights of a customer and the degree to which the economy cabin is overbooked, in order to determine which passengers are eligible to be upgraded to Business or First class.",O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
215,The drink tonight is determined by two factors: the meal of the evening and the age of the guests.,O B-DER I-DER O B-ACT O O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
216,"Whether you get a discount depends on the total amount of points earned, which is determined by the amount of money you have spend on products.",B-DER I-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
217,customer status and this depends on order amount.,B-DER I-DER O O B-ACT O B-BAS I-BAS O 
218,"In order to decide on the approval of a loan for a SME, both the borrower’s attributes and the lender’s human capital are taken into account.",O O O B-ACT O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O O 
219,"Exact shipping charges are calculated at the time of checkout based on the number of items, item type, weight, and volume of all the items in the cart.",B-DER I-DER I-DER O B-ACT O O O O O O O O B-BAS I-BAS I-BAS O B-BAS I-BAS O B-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
220,"Life expectancy is defined as the average number of years a population of a certain age would be expected to live, given a set of age-specific death rates in a given year.",B-DER I-DER O B-ACT O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
221,One way of checking physical activity intensity is to determine whether your pulse or heart rate is within the target zone during physical activity.,O O O O B-DER I-DER I-DER O O B-ACT B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
222,The personal score will depend on the KPI Data and the Project Data. ,O B-DER I-DER O B-ACT O O B-BAS I-BAS O O B-BAS I-BAS O 
223,Rates can also be significantly different depending on what loan type you choose.,B-DER O O O O O B-ACT O O B-BAS I-BAS O O O 
224,Sleep deprivation causes you to feel more impatient or prone to mood swings.,B-BAS I-BAS B-ACT O O B-DER I-DER I-DER O B-DER I-DER I-DER I-DER O 
225,To decide on the drink of tonight we first want to know the dinner of tonight and the age of the guests. ,O B-ACT O O B-DER I-DER I-DER O O O O O O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
226,All of these factors are taken into account when measuring your health level.,O O O O O O O O O B-ACT O B-DER I-DER O 
227,The eligibility and application risk influence the routing of an application.,O B-BAS O B-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER O 
228,"The GDP calculation includes all of the factors of production that make up an economy, it includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.",O B-DER I-DER O O O O O O O O O O O O O O B-ACT O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS O 
229,"Several health conditions, your lifestyle, your age and family history can increase your risk for heart disease.",O O O O O B-BAS O O B-BAS O B-BAS I-BAS O O O B-DER I-DER I-DER I-DER O 
230,It also negatively affects your mental abilities and emotional state.,O O O B-ACT O B-DER I-DER O B-DER I-DER O 
231,"Furthermore, the meal we have is influenced by the weather which is determined by the season.",O O O B-DER O O O B-ACT O O B-BAS O O B-ACT O O B-BAS O 
232,"After the ranking run, the system produces the list of acceptable candidates according to their preference score and with the indication of scholarship (Y/N). ",O O O O O O O O O B-DER I-DER I-DER I-DER O O O B-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
233,The final grade consists of homework assignments and a written final exam.,O B-DER I-DER B-ACT O B-BAS I-BAS O O B-BAS I-BAS I-BAS O 
234,"The menu will depend on the day of the week, and the current weather.",O B-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS O 
235,"dinner of tonight, which determines the drinks.",B-BAS I-BAS I-BAS O O B-ACT O B-DER O 
236,Basal metabolic rate refers to the number of calories your body burns each day to keep you alive.,B-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
237,"In a car rental company, a rental is offered or refused depending on age eligibility, drop-off validity and availability of the requested vehicle. ",O O O O O O O B-DER I-DER I-DER I-DER I-DER B-ACT O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O 
238,"Health evaluation also depends on the score of Mental health, which is determined from the EQ test result and the IQ test score. ",B-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O O O B-ACT O O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O 
239,The specific goals of the business owners is another important factor that determines the amount of working capital required by a small business.,O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
240,"total amount of points earned, which is determined by the amount of money you have spend on products.",B-DER I-DER I-DER I-DER I-DER O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
241,"The amount of maternity benefit depends on your status (employed, unemployed or self-employed) and on your income.",O B-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS O 
242,"The borrower’s attributes include the relationship with the bank, the firm size, value of collateral, related business experience, and the share of investment.",O B-DER I-DER I-DER I-DER B-ACT O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS O 
243,"The bonus is determined by a score, which takes into account your commissions and hours worked.",O B-DER O B-ACT O O B-BAS O O B-ACT O O O B-BAS O B-BAS I-BAS O 
244,"When preparing for differential diagnosis, a doctor will need to take a person’s full medical history into account.",O B-ACT O B-DER I-DER O O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O 
245,"To assess whether an employee gets a bonus, the HR department gives a score, depending on the working hours and performance.",O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER O O O O O O B-BAS O B-ACT O O B-BAS I-BAS O B-BAS O 
246,"To calculate the eligibility, we combine the information from the application form with the client’s score.",O B-ACT O B-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
247,Accurate real estate valuations can help investors make better decisions when it comes to buying and selling properties.,B-BAS I-BAS I-BAS I-BAS O O O O O O O O O O B-DER I-DER I-DER I-DER O 
248,Your age and insurance information are required for a car rental. ,O B-BAS O B-BAS I-BAS O B-ACT O O B-DER I-DER O 
